AC_H2_EPM/P1/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/P2/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/P3/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/P4/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/P5/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/P6/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/P7/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/P8/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/unc_P1/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/unc_P2/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/unc_P3/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/unc_P4/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/unc_P5/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/unc_P6/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/unc_P7/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/unc_P8/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/DE1/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/DE2/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/DE3/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/DE4/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/unc_DE1/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/unc_DE2/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/unc_DE3/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/unc_DE4/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/W3/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/W4/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/W5/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/W6/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/W7/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/W8/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/unc_W3/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/unc_W4/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/unc_W5/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/unc_W6/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/unc_W7/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/unc_W8/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/E1p/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/E2p/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/E3p/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/E4p/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/FP5p/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/FP6p/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/FP7p/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/unc_E1p/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/unc_E2p/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/unc_E3p/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/unc_E4p/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/unc_FP5p/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/unc_FP6p/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/unc_FP7p/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/Z2/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/Z2A/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/Z3/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/Z4/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/unc_Z2/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/unc_Z2A/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/unc_Z3/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/unc_Z4/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/P1p/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/P2p/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/P3p/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/P4p/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/P5p/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/P6p/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/P7p/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/P8p/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/unc_P1p/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/unc_P2p/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/unc_P3p/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/unc_P4p/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/unc_P5p/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_EPM/unc_P6p/1997-08-30/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
